Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
The Avengers,2500,1104,1030,366
Skyfall,2500,1216,979,305
The Dark Knight Rises,2500,938,1254,308
The Hobbit: An Unexpected Journey,2500,454,1961,85
Ice Age 4: Continental Drift,2500,906,1516,78
The Twilight Saga: Breaking Dawn - Part 2,2500,511,1894,95
The Amazing Spider-Man,2500,2468,6,26
Madagascar 3: Europe's Most Wanted,2500,326,2132,42
The Hunger Games,2500,971,146,1383
Men in Black 3,2500,1032,1066,402
Life of Pi,2500,1251,992,257
Ted,2500,971,1165,364
Brave,2500,2278,86,136
Wreck-It Ralph,2500,995,1263,242
Les Mis̩rables,2500,1135,1015,350
Django Unchained,2500,1030,1127,343
Prometheus,2500,955,1086,459
Snow White and the Huntsman,2500,911,1379,210
Taken 2,2500,1016,953,531
Hotel Transylvania,2500,1091,1184,225
The Lorax,2500,1243,1012,245
Journey 2: The Mysterious Island,2500,583,1803,114
The Expendables 2,2500,752,1540,208
Rise of the Guardians,2500,967,1287,246
Battleship,2500,998,828,674
Wrath of the Titans,2500,740,1409,351
John Carter,2500,1034,1068,398
The Bourne Legacy,2500,925,1150,425
Lincoln,2500,1030,1087,383
We're the Millers,2500,1095,1169,236
Dark Shadows,2500,1075,1112,313
Resident Evil: Retribution,2500,206,78,2216
Silver Linings Playbook,2500,1605,708,187
American Reunion,2500,1020,1148,332
Argo,2500,1276,884,340
Jack Reacher,2500,1240,964,296
Safe House,2500,1995,273,232
21 Jump Street,2500,1249,927,324
Total Recall,2500,903,1093,504
The Impossible,2500,1101,1030,369
The Vow,2500,1134,969,397
Mirror Mirror,2500,1178,1025,297
The Dictator,2500,1077,1123,300
Looper,2500,1195,876,429
Magic Mike,2500,1043,1119,338
Flight,2500,1103,886,511
Underworld: Awakening,2500,997,1213,290
This Means War,2500,627,189,1684
Paranormal Activity 4,2500,879,909,712
Step Up Revolution,2500,1141,1120,239
The Best Exotic Marigold Hotel,2500,2484,4,12
The Wind Rises,2500,1267,819,414
Last Vegas,2500,1326,946,228
Zero Dark Thirty,2500,846,1045,609
Ghost Rider: Spirit of Vengeance,2500,523,21,1956
Cloud Atlas,2500,1157,984,359
The Woman in Black,2500,850,1089,561
Chronicle,2500,1073,1014,413
Walking with Dinosaurs 3D,2500,942,1402,156
The Pirates! Band of Misfits,2500,736,1678,86
Parental Guidance,2500,1386,897,217
Abraham Lincoln: Vampire Hunter,2500,845,1249,406
Pitch Perfect,2500,2115,249,136
Hope Springs,2500,2194,180,126
ParaNorman,2500,888,1278,334
The Campaign,2500,1044,1044,412
Project X,2500,1131,1019,350
The Devil Inside,2500,174,33,2293
The Lucky One,2500,2300,32,168
Contraband,2500,1024,1068,408
Think Like a Man,2500,2243,20,237
Masquerade,2213,1089,601,523
This Is 40,2500,1132,988,380
The Thieves,2500,393,178,1929
The Possession,2500,771,1068,661
What to Expect When You're Expecting,2500,869,1434,197
Savages,2500,698,607,1195
Sinister,2500,227,61,2212
Act of Valor,2500,1091,1128,281
Frankenweenie,1610,901,492,217
Diary of a Wimpy Kid: Dog Days,2500,922,33,1545
To Rome with Love,2500,2413,53,34
Here Comes the Boom,2500,992,1266,242
The Cabin in the Woods,2500,975,978,547
Anna Karenina,2500,1137,976,387
The Watch,2500,1115,916,469
Moonrise Kingdom,2500,1442,846,212
Madea's Witness Protection,2500,1021,1251,228
Quartet,892,391,423,78
Rock of Ages,2500,1234,948,318
That's My Boy,2500,1148,1025,327
The Odd Life of Timothy Green,2500,598,34,1868
Lawless,2500,1108,1060,332
End of Watch,2500,1095,1030,375
The Three Stooges,2500,820,1229,451
The Five-Year Engagement,2500,2318,114,68
Red Dawn,2500,1007,945,548
Red Tails,2500,1081,1047,372
Trouble with the Curve,2500,611,97,1792
Man on a Ledge,2500,989,1167,344
House at the End of the Street,2500,811,1108,581
The Guilt Trip,2500,835,44,1621
Safe,2500,2164,84,252
Dredd,2500,1182,923,395
Chernobyl Diaries,2500,727,1084,689
Killing Them Softly,2500,261,165,2074
Good Deeds,2500,1567,68,865
Arbitrage,2500,1173,926,401
Chimpanzee,2500,1246,991,263
Alex Cross,2500,929,1133,438
Salmon Fishing in the Yemen,2500,863,1486,151
Haywire,2500,989,948,563
Cirque du Soleil: Worlds Away,2500,932,1434,134
2016: Obama's America,2500,1001,1069,430
The Perks of Being a Wallflower,2500,1159,1019,322
Lockout,2500,900,980,620
Part of Me,2500,1178,861,461
Movie 43,2500,875,672,953
Seven Psychopaths,2500,1132,1027,341
Joyful Noise,2500,2235,159,106
Premium Rush,54,12,35,7
Playing for Keeps,2500,2096,177,227
The Raven,2500,1269,871,360
Amour,888,362,355,171
Rowdy Rathore,2500,1127,1132,241
Bol Bachchan,2500,1400,872,228
The Master,2500,1027,1089,384
Hitchcock,2500,956,1096,448
Dancing Queen,2500,1180,1041,279
On the Other Side of the Tracks,394,131,201,62
Big Miracle,2500,2271,179,50
Sparkle,2500,1931,283,286
The Players,2500,1283,676,541
Wanderlust,2500,1253,899,348
To the Arctic 3D,1007,433,555,19
Fall in Love Like a Star,148,148,0,0
Upside Down,2500,950,1098,452
