,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Batman,4997,2218,1938,841
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Water Gate Bridge,63,17,18,28
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Uncharted,5000,2362,1668,970
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Too Cool to Kill,139,39,5,95
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Scream,5000,1216,335,3449
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Death on the Nile,5000,1059,249,3692
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Jackass Forever,4997,1666,755,2576
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Dog,4998,2030,1538,1430
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Marry Me,4999,2086,2400,513
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Moonfall,4996,1872,1724,1400
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,BTS Permission to Dance on Stage - Seoul: Live Viewing,1336,314,915,107
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The 355,5000,2078,1713,1209
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Kashmir Files,4998,1576,1849,1573
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Radhe Shyam,4999,1654,2503,842
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Blacklight,4992,2056,2039,897
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Redeeming Love,2254,1917,182,155
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Cyrano,4999,2299,1926,774
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Cherry Bushido,128,61,42,25
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Cursed,4989,1858,1767,1364
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,X,4988,1544,2712,732
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Gangubai Kathiawadi,4998,2186,2234,578
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Studio 666,5001,1968,1362,1671
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Beatles: Get Back - The Rooftop Concert,272,62,197,13
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The King's Daughter,1530,649,568,313
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Outfit,4997,2851,1449,697
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Umma,4993,1274,2912,807
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Tiger Rising,296,129,137,30
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,The Family,4998,2448,1728,822
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Tyson's Run,309,171,109,29
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Clean,4998,4118,171,709
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Sundown,4996,2046,1967,983
,Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
0,Alice,4982,1652,2563,767
